deseq250,limma250
NTRK2,NTS
EXOC3L4,MAF
NTS,EXOC3L4
CALHM2,CALHM2
TOX2,NTRK2
LINC02328,GATA3
MAF,FGD2
COL6A3,CIITA
TRGV4,TMC8
SEPTIN1,CD7
CST1,TRPV2
TMC8,GBP5
IL12RB1,CCDC88B
LINC01215,SLCO1B3
CD180,LINC02328
TIFAB,XKR6
GATA3,GVINP1
AF131215.6,PLCB4
SLCO1B3,TMEM176B
TBC1D10C,PARVG
TRPV2,APOL2
ABI3,PLEKHF1
IL32,ADAP2
FGD2,BMP7
MYO1G,NCKAP1L
PTPRQ,IL12RB1
PARVG,CD180
CCDC88B,APOL4
GBP5,ABI3
CD248,IKZF1
GZMM,AF131215.6
TMEM156,DOK2
CARMIL2,SEPTIN1
CD7,FAM78A
DOK2,SFMBT2
TLL1,SIPA1
SEMA7A,APOE
NRN1,ADCY7
IKZF1,FMNL3
SPN,DAB2
AC008105.3,PARP14
SUCNR1,LINC01215
PTPN7,VASH1
AACSP1,VTCN1
CPXM2,DPP10
ACAP1,TLL1
BMP7,SEMA7A
MAP4K1,AC008105.3
ADCY7,HLA-DQA2
FGD5,PDGFA
NECAB1,SUCNR1
SLCO1B7,AL159141.1
ASB2,DOCK10
CPVL,CD40LG
TMEM176B,COL6A3
DAB2,ACAP1
SIPA1,CALHM6
CIITA,CYBB
PDGFA,GIMAP6
VASH1,HLA-DRA
CD40LG,MYO1G
UBD,TRIB2
DPP10,TBC1D10C
PCED1B-AS1,SP6
GVINP1,MAP4K1
RASAL3,FGD5
UBASH3A,PLXND1
AL159141.1,CD84
ARHGAP4,PRKCH
CPA3,KIF21B
SMTNL1,MYO7A
XKR6,CYBC1
DOCK10,RASAL3
TNIP3,ACP5
SOCS1,ARHGAP4
COL6A1,SLITRK6
NCR3,AACSP1
ZNF366,APOL3
TENM1,TRAF3IP3
FMNL3,AL365361.1
FAM78A,KIFC3
SLC26A5,UBASH3A
RENBP,CAPG
IVL,CD74
DPYS,ZAP70
TRBC2,IRF8
ADRA2B,GIMAP4
ADAP2,CD248
SLC8A1,AC005224.3
AL132642.1,GPR35
CORO1A,TOX2
ZAP70,P2RX7
FN1,TRAF1
GABRQ,TRIM69
CALHM6,CXCR3
AC004151.1,CARMIL2
ITGAL,RAB24
COTL1,SMTNL1
SIRPG,SPN
APOE,SLC8A1
PARP14,TPSAB1
TLR10,CPVL
LTB,CD2
HLA-DQA1,SLC26A5
HLA-DPB1,CORO1A
KHDRBS2,ZNF831
GAB3,HLA-DMB
RAB39B,RENBP
SIT1,EDARADD
TRAF1,ZDHHC14
DBH-AS1,GIMAP1
RET,HLA-F
NCKAP1L,IL32
TRAV12-2,HLA-DPB1
DPF3,TMEM156
IL21R,PML
SNX20,NECAB1
MTRNR2L1,CHST3
AC015911.7,ARHGEF1
SP6,DOCK2
PLEKHF1,COTL1
APOL4,SYT11
RAB24,TRANK1
HLA-DQB2,LAIR1
CD1D,EVL
TRAF3IP3,RUNX3
CXCR3,HLA-DPA1
TESC,TENM1
RNF17,TRPM2
IKZF3,EYA1
JAK3,HLA-DRB6
RUNX3,CETP
CETP,SOCS1
PLEKHO1,GZMM
IRF8,FAM189A2
HS3ST3A1,USP20
AP003471.1,PTPN7
SLC25A47,ETV7
TRIM69,HEXD
PSTPIP1,ITGB7
KIF21B,PTPRQ
NPFFR1,GABRQ
LIMD2,KRT8P3
APOL2,CST1
AOAH-IT1,APOL1
TPSAB1,PCDHB8
GIMAP4,AF131215.5
KIFC3,ID2
TTC24,ARRDC5
TRAC,FCHSD1
AF131215.4,PAG1
WNT1,FNBP1
PLA2G7,RGPD2
CCND2,TRBC2
SASH3,PLA2G7
AC139495.2,AL512408.1
ANKRD29,CCR5
AJ239328.1,RNF17
NCR1,GAB3
ANXA6,LPXN
LINC01934,LIMD2
VTCN1,GFI1
LPXN,TRAC
TRPM2,GRB10
TRIB2,HLA-DMA
HLA-DQA2,NPFFR1
ZSCAN1,MAFB
GBGT1,SLCO1B7
AP000424.1,SIT1
SFMBT2,HLA-E
CD3D,PSTPIP1
FERMT3,MT1XP1
AL157871.2,GBP2
CYBC1,A2M
MFNG,GIMAP8
LGR6,PCED1B-AS1
ATP5MC2P3,CSMD1
PLCB4,NRN1
MIAT,TSHZ2
CCR5,ETS1
CYSLTR2,CYSLTR2
RGPD2,AC004151.1
SOWAHD,TRGV4
LINC01588,GBP1
DOCK2,AOAH-IT1
POSTN,LINC01517
CD2,CLIP2
HEXD,RELL2
FAM189A2,AF127936.1
USP20,TESC
NDST2,WASF3
P2RX7,SLC2A6
AL512378.1,GBGT1
MSC,PLEKHO1
GNGT2,TIFAB
LINC00299,ANXA6
AC136475.3,NDST2
MYO7A,CD52
SLC16A12,CNTN3
SLC24A4,RNF213
AL023653.2,UGT2A1
AL512408.1,ESRRB
AL365361.1,CD1D
GFI1,AL157871.2
LINC00885,PLCE1
CAPG,AC117464.1
CD79B,SCHIP1
SCHIP1,CD244
HLA-DRA,CPA3
PNMA3,HLA-DRB5
ZDHHC14,AP000424.1
LINC02694,JAK3
RNF166,TTC24
SECTM1,SLCO2B1
AC004585.1,TFEC
GBP4,PIM1
BEND4,TNIP3
TNFRSF9,SECTM1
MT1XP1,GLS
AC100858.3,MPEG1
AC138207.5,WNT1
ZNF826P,AF131215.4
LINC01517,HAVCR2
STXBP5L,AC138207.5
AGAP2,AC139769.1
PRKCH,RCSD1
HOTAIRM1,NLRC5
CSMD1,CYP2B6
AP003119.3,SNX20
GPR35,C1QC
AC022034.3,SASH3
APOL3,MEI1
CD247,PPP2R2B
C6,CXCR6
UNC13D,IKZF3
ACP5,GBP4
RGS19,LMCD1
GBP1,ITGAL
GPR174,PIEZO2
ARHGEF1,TNFRSF14
IL23R,HERC2P2
RCSD1,GIMAP5
BTLA,SLC25A47
AC005224.3,PIK3R6
FASLG,MT1G
ZNF831,MSR1
CD74,AC083837.1
MRO,SOWAHD
CNTN3,TGFBI
NAPSB,ZDHHC15
