ctrl_deseq,ctrl_limma,LPS_deseq,LPS_limma
IGHG4,NPR1,IGHG4,IGHG4
ITGA4,IGHG4,MEOX1,BTNL9
MARK1,IGHA2,IGHA1,IGHA2
NPR1,ITGA4,BTNL9,JAZF1
SH3PXD2B,TEX9,IGHA2,PARM1
SCG5,IGHA1,KLHL9,ADAM12
KCNN3,IGLC7,IGHV3-74,IGHA1
TEX9,MARK1,TEX9,LINC01781
CCL22,CCL22,COCH,MARK1
IGHA1,KCNN3,GPR55,TEX9
KLHL9,IGHGP,JAZF1,FAM149A
TMEM132A,ALOX15B,PPP1R21,COCH
CERKL,ENAM,CERKL,MEOX1
LRRC38,SH3PXD2B,IGKV2D-29,ENAM
IGLC7,LINC02768,ENAM,CCN2
MUCL1,ADAM12,ITGA4,IGHV3-74
SLF2,MTARC2,ADAM12,IGHG2
SNHG31,IGHG2,IGLV1-51,IGLV10-54
C1QTNF1,RAI14,CYB561D1,IGHGP
IGHA2,SCG5,MIR9-3HG,IGHG1
ALOX15B,MZB1,FBXO32,GPR55
IGLV2-18,CERKL,APOBEC3H,CERKL
NUP133,IGSF3,FAM149A,AICDA
MZB1,COL5A1,MZB1,IGHV3-72
LINC02768,IGKV2D-24,METTL2B,ITGA4
DPYSL3,IGLV2-23,IGLV10-54,COL5A1
RPP30,IGHV3-74,PARM1,IGLV2-23
ZNF845,ANKLE1,IGKV2-30,MRC2
IGKV2-24,MCEMP1,SCG3,IGHJ2
CA12,DPYSL3,IGHGP,UCHL1
TNFRSF9,IGLV10-54,IGLV2-23,IGLV2-11
ZSWIM4,CSNK1E,IGKV1-6,IGLV2-8
SLC12A5-AS1,SEMA7A,TIGIT,IGLV7-43
ANKLE1,IGLV2-18,CD84,IL17F
MTARC2,MMP7,IGHV3-66,NCAN
SLC25A37,IGLV1-36,RPS2P7,IGHV3-64
COCH,AKR1C1,NCK1,IGLC2
IL6,LRRC38,KIAA1671,IRAG1
IGKV1-6,MYBL2,MRC2,IGLV2-14
IGHGP,IGKV1-27,ZNF683,S100Z
SLC1A2,LINC01781,CCR4,MTND4P24
ENAM,CCN2,SCART1,TGFB2
MCEMP1,IGKV3D-20,STYK1,NPR1
FURIN,IGHV3-72,ST8SIA1,MIR9-3HG
VPS50,KLHL9,FHDC1,MNS1
RPL10P9,FOXP3,TMEM219,IGLV1-47
CSNK1E,GCSIR,ADK,IGLV3-21
EPOP,IGKV1-6,TPSB2,IGLL5
IGSF3,ZSWIM4,WDR5B,IGLV2-18
HTRA3,SLC1A2,IGLC2,PEG10
IGKV2D-24,SLC7A11-AS1,IGHV3-33,KLHL9
ADAM12,IGLV2-8,IGHV3-7,IGHV3-33
IGHV3-74,LINC01484,HLA-DQB1,SMTNL2
GCNT1,IGLV2-14,ZNF396,IGKV1D-16
MSANTD3,MEOX1,IGHG2,LINC01644
SCIN,PTGR1,CCL3-AS1,HNF1B
TGM3,IGLV3-21,MLLT1,PLPP2
SMPD2,IGLV7-43,DDIT3,IGHV5-51
MEI1,MIXL1,RNF8,IGHV3-53
TIGD2,FAM177B,CCR5AS,IGLV7-46
CCM2L,IGLV1-44,LERFS,IGKV2D-29
SLCO4A1,IGLC2,ITPKB,METTL2B
MAP1LC3A,IGKV3D-11,GASK1B,IGHV3-13
IGLV1-51,SLC12A5-AS1,CXCR3,IGHV3-7
INHBA,COCH,IGHV3-13,IGKV2-30
INSM1,LAD1,IGLL5,IGLV1-51
SLC24A3,MNS1,ZNF25,SCART1
TNIP3,SLCO4A1,TMEM9B-AS1,IGLV1-36
HES1,NCCRP1,HNF1B,FBXO32
C2CD4B,RPL17P50,IL17F,HRK
IGLV2-23,HNF1B,IRAK4,RPS2P7
LAPTM4B,IGHG1,IL21-AS1,IGKV2D-24
LINC02541,IGLV2-11,TRIM2,EYA2
HAS1,PDPN,IGLV7-43,TMLHE
IGLV1-36,IGHE,GCSIR,RNF32-DT
IL1A,SCN7A,CCN2,LINC00511
GPR55,LINC01182,LIN7C,SPDYE6
ST3GAL2,PLPP2,TNFSF11,ZYG11A
VSTM4,VSTM4,CD300LB,GCSIR
MMP7,IGHD4-23,IGLV2-11,IGKV1-27
DLL4,IGLV1-47,COPZ2,LINC01480
IGLV7-43,STEAP3,RNF32-DT,IGLV1-44
HLA-DRB6,BCAR3,ZNF358,MZB1
SEMA7A,IGKV1-16,MIR155HG,LINC01013
PDPN,HES1,PLAAT4,STYK1
TREM1,GPR55,MMD,ZNF396
MIXL1,CA12,CYP4F29P,IGHV3-69-1
LINC01182,IGHV5-51,NR1H3,SLITRK5
PDSS1,FBN1,HOMER2,MLLT1
SOCS3,NEDD8,EDEM1,HLA-DQB1
RAI14,IGKV1-9,FAM110C,IGHJ1P
ADTRP,SHISA8,FLT4,CYB561D1
PKD1P5,MOXD1,FANCI,FLT4
SLC28A3,FNBP1L,PEG10,IGHE
STEAP3,MEI1,IGKV6-21,LIAT1
MAS1,FURIN,IGLC3,IGKV1-16
IL36B,HTRA3,ACP2,IGKV1-6
IGLV10-54,IGLV1-40,CLHC1,LINC01484
COL5A1,TVP23A,MT-TP,IGHV3-66
PTGS2,IGKV2-30,IGLV1-47,TRIM2
NEDD8,FSCN1,IGLV7-46,DDIT3
NCCRP1,SMPD2,GSKIP,ZNF358
DOCK11,GNG8,DNAI3,SCARB1
AKR1C1,IGLV1-51,NAA50,IGLV1-40
